,pct_barrier_reason_religious,barrier_reason_religious_se,pct_barrier_reason_religious_unw,barrier_reason_religious_se_unw,sample_size,country,iso_code,gid_0,survey_date
0,0.004822,0.004830999999999999,0.0053479999999999995,0.005333,187,Tunisia,TUN,TUN,20210206
1,0.007934,0.0056289999999999995,0.008230000000000001,0.005796,243,Tunisia,TUN,TUN,20210207
2,0.0,0.0,0.0,0.0,222,Tunisia,TUN,TUN,20210208
3,0.017700999999999998,0.015768,0.009302,0.006547,215,Tunisia,TUN,TUN,20210209
4,0.003972,0.003981999999999999,0.005076,0.005063,197,Tunisia,TUN,TUN,20210210
5,0.0,0.0,0.0,0.0,178,Tunisia,TUN,TUN,20210211
6,0.020807,0.014223,0.011951999999999999,0.006859,251,Tunisia,TUN,TUN,20210212
7,0.007313,0.005025,0.015385,0.007633,260,Tunisia,TUN,TUN,20210213
8,0.025387999999999997,0.018708,0.010638,0.007482,188,Tunisia,TUN,TUN,20210214
9,0.008463,0.005998,0.0074069999999999995,0.0052179999999999995,270,Tunisia,TUN,TUN,20210215
10,0.004953,0.004663,0.010204,0.0071779999999999995,196,Tunisia,TUN,TUN,20210216
11,0.060001,0.031812,0.040201,0.013925,199,Tunisia,TUN,TUN,20210217
12,0.0,0.0,0.0,0.0,225,Tunisia,TUN,TUN,20210218
13,0.0031379999999999997,0.003145,0.004425,0.004415,226,Tunisia,TUN,TUN,20210219
14,0.001638,0.001646,0.005618,0.005601999999999999,178,Tunisia,TUN,TUN,20210220
15,0.0,0.0,0.0,0.0,177,Tunisia,TUN,TUN,20210221
16,0.0,0.0,0.0,0.0,192,Tunisia,TUN,TUN,20210222
17,0.0,0.0,0.0,0.0,156,Tunisia,TUN,TUN,20210223
18,0.010477,0.01042,0.0045049999999999995,0.004494,222,Tunisia,TUN,TUN,20210224
19,0.0,0.0,0.0,0.0,169,Tunisia,TUN,TUN,20210225
20,0.019826999999999997,0.017914,0.010811,0.0076029999999999995,185,Tunisia,TUN,TUN,20210226
21,0.0,0.0,0.0,0.0,153,Tunisia,TUN,TUN,20210227
22,0.011323,0.008058,0.010471,0.007365,191,Tunisia,TUN,TUN,20210228
23,0.022209,0.021345,0.011561,0.008126999999999999,173,Tunisia,TUN,TUN,20210301
24,0.0,0.0,0.0,0.0,202,Tunisia,TUN,TUN,20210302
25,0.008891999999999999,0.008863,0.00495,0.004938,202,Tunisia,TUN,TUN,20210303
26,0.001432,0.001439,0.0053479999999999995,0.005333,187,Tunisia,TUN,TUN,20210304
27,0.0,0.0,0.0,0.0,204,Tunisia,TUN,TUN,20210305
28,0.010190000000000001,0.008564,0.018182,0.010400999999999999,165,Tunisia,TUN,TUN,20210306
29,0.002832,0.002082,0.00885,0.00623,226,Tunisia,TUN,TUN,20210307
30,0.0016,0.001606,0.004464,0.004454,224,Tunisia,TUN,TUN,20210308
31,0.0037579999999999996,0.003763,0.004405,0.004396,227,Tunisia,TUN,TUN,20210309
32,0.023385,0.013538,0.020942,0.010360999999999999,191,Tunisia,TUN,TUN,20210310
33,0.0,0.0,0.0,0.0,175,Tunisia,TUN,TUN,20210311
34,0.023084,0.020846,0.011429,0.008035,175,Tunisia,TUN,TUN,20210312
35,0.007515,0.007078999999999999,0.011429,0.008035,175,Tunisia,TUN,TUN,20210313
36,0.008229,0.00822,0.005987999999999999,0.0059700000000000005,167,Tunisia,TUN,TUN,20210314
37,0.0005589999999999999,0.000563,0.00578,0.005764,173,Tunisia,TUN,TUN,20210315
38,0.002473,0.002479,0.004926,0.004914,203,Tunisia,TUN,TUN,20210316
39,0.010889,0.007133,0.019511999999999998,0.00966,205,Tunisia,TUN,TUN,20210317
40,0.007849,0.0056549999999999994,0.011561,0.008126999999999999,173,Tunisia,TUN,TUN,20210318
41,0.003228,0.003235,0.004974999999999999,0.0049629999999999995,201,Tunisia,TUN,TUN,20210319
42,0.031409,0.019278,0.021276999999999997,0.010525,188,Tunisia,TUN,TUN,20210320
43,0.005608999999999999,0.005260000000000001,0.009346,0.006578,214,Tunisia,TUN,TUN,20210321
44,0.0,0.0,0.0,0.0,184,Tunisia,TUN,TUN,20210322
45,0.008794999999999999,0.008778,0.005376,0.005362,186,Tunisia,TUN,TUN,20210323
46,0.024472999999999998,0.024034999999999997,0.005235999999999999,0.005222,191,Tunisia,TUN,TUN,20210324
47,0.0,0.0,0.0,0.0,169,Tunisia,TUN,TUN,20210325
48,0.015882999999999998,0.011786,0.016484,0.009438,182,Tunisia,TUN,TUN,20210326
49,0.0,0.0,0.0,0.0,179,Tunisia,TUN,TUN,20210327
50,0.0,0.0,0.0,0.0,178,Tunisia,TUN,TUN,20210328
51,0.0,0.0,0.0,0.0,190,Tunisia,TUN,TUN,20210329
52,0.0,0.0,0.0,0.0,171,Tunisia,TUN,TUN,20210330
53,0.0032289999999999997,0.002598,0.010811,0.0076029999999999995,185,Tunisia,TUN,TUN,20210331
54,0.0013469999999999999,0.001354,0.0056500000000000005,0.005634,177,Tunisia,TUN,TUN,20210401
55,0.0,0.0,0.0,0.0,206,Tunisia,TUN,TUN,20210402
56,0.0,0.0,0.0,0.0,201,Tunisia,TUN,TUN,20210403
57,0.001077,0.001081,0.004673,0.0046619999999999995,214,Tunisia,TUN,TUN,20210404
58,0.009512,0.009214,0.009259,0.006516999999999999,216,Tunisia,TUN,TUN,20210405
59,0.006527,0.0058779999999999995,0.008333,0.005868,240,Tunisia,TUN,TUN,20210406
60,0.048173,0.025668,0.02551,0.011262,196,Tunisia,TUN,TUN,20210407
61,0.010683999999999999,0.007619,0.013453,0.007715,223,Tunisia,TUN,TUN,20210408
62,0.012242,0.010967,0.014563,0.008347,206,Tunisia,TUN,TUN,20210409
63,0.0011049999999999999,0.001109,0.005235999999999999,0.005222,191,Tunisia,TUN,TUN,20210410
64,0.027030000000000002,0.020798,0.016215999999999998,0.009285999999999999,185,Tunisia,TUN,TUN,20210411
65,0.0,0.0,0.0,0.0,175,Tunisia,TUN,TUN,20210412
66,0.001173,0.00118,0.0060609999999999995,0.006042,165,Tunisia,TUN,TUN,20210413
67,0.015957,0.015820999999999998,0.005495,0.0054789999999999995,182,Tunisia,TUN,TUN,20210414
68,0.009226999999999999,0.006653,0.009132,0.006428,219,Tunisia,TUN,TUN,20210415
69,0.000607,0.0006100000000000001,0.004587,0.0045769999999999995,218,Tunisia,TUN,TUN,20210416
70,0.007597,0.0072169999999999995,0.008032,0.005657,249,Tunisia,TUN,TUN,20210417
71,0.042402999999999996,0.029290999999999998,0.021367999999999998,0.009453,234,Tunisia,TUN,TUN,20210418
72,0.0027700000000000003,0.002778,0.005102,0.005089,196,Tunisia,TUN,TUN,20210419
73,0.012676999999999999,0.012196,0.010752999999999999,0.007561999999999999,186,Tunisia,TUN,TUN,20210420
74,0.016460000000000002,0.011819,0.014084999999999999,0.008074,213,Tunisia,TUN,TUN,20210421
75,0.0,0.0,0.0,0.0,201,Tunisia,TUN,TUN,20210422
76,0.010999,0.010948,0.00578,0.005764,173,Tunisia,TUN,TUN,20210423
77,0.02256,0.014261,0.018692,0.009257999999999999,214,Tunisia,TUN,TUN,20210424
78,0.009382,0.006682,0.008734,0.006149,229,Tunisia,TUN,TUN,20210425
79,0.025106,0.016000999999999998,0.014851,0.008511,202,Tunisia,TUN,TUN,20210426
80,0.014476999999999999,0.011474999999999999,0.008969,0.006313,223,Tunisia,TUN,TUN,20210427
81,0.020985999999999998,0.016860999999999998,0.013824999999999999,0.007925999999999999,217,Tunisia,TUN,TUN,20210428
82,0.0019879999999999997,0.001996,0.005376,0.005362,186,Tunisia,TUN,TUN,20210429
83,0.00576,0.0031579999999999998,0.021164,0.010469,189,Tunisia,TUN,TUN,20210430
84,0.002111,0.002117,0.004673,0.0046619999999999995,214,Tunisia,TUN,TUN,20210501
85,0.0034609999999999997,0.002806,0.010100999999999999,0.0071059999999999995,198,Tunisia,TUN,TUN,20210502
86,0.005072999999999999,0.005075,0.0056500000000000005,0.005634,177,Tunisia,TUN,TUN,20210503
87,0.008863,0.008851,0.0057469999999999995,0.005731,174,Tunisia,TUN,TUN,20210504
88,0.0,0.0,0.0,0.0,158,Tunisia,TUN,TUN,20210505
89,0.008791,0.007013999999999999,0.011904999999999999,0.008368,168,Tunisia,TUN,TUN,20210506
90,0.002175,0.002185,0.00625,0.00623,160,Tunisia,TUN,TUN,20210507
91,0.010817,0.008492,0.011696,0.008222,171,Tunisia,TUN,TUN,20210508
92,0.008464,0.008447999999999999,0.0062109999999999995,0.006192,161,Tunisia,TUN,TUN,20210509
93,0.021646,0.015792999999999998,0.013888999999999999,0.009752,144,Tunisia,TUN,TUN,20210510
94,0.004121,0.0029879999999999998,0.013514,0.009491,148,Tunisia,TUN,TUN,20210511
95,0.0,0.0,0.0,0.0,146,Tunisia,TUN,TUN,20210512
96,0.015132,0.015033999999999999,0.00813,0.008097,123,Tunisia,TUN,TUN,20210514
97,0.010721999999999999,0.010702999999999999,0.007873999999999999,0.007843,127,Tunisia,TUN,TUN,20210515
98,0.024860999999999998,0.014607,0.024,0.013689,125,Tunisia,TUN,TUN,20210516
99,0.023617,0.015437999999999999,0.025,0.014251999999999999,120,Tunisia,TUN,TUN,20210517
100,0.016529,0.011590999999999999,0.016529,0.011590999999999999,121,Tunisia,TUN,TUN,20210519
